,Year,Total,Code,Park
623,2011,476077.0,BISC,Biscayne National Park
624,2010,467612.0,BISC,Biscayne National Park
625,2009,437745.0,BISC,Biscayne National Park
626,2008,686062.0,BISC,Biscayne National Park
627,2007,517442.0,BISC,Biscayne National Park
628,2006,608836.0,BISC,Biscayne National Park
629,2005,563728.0,BISC,Biscayne National Park
630,2004,478304.0,BISC,Biscayne National Park
631,2003,490031.0,BISC,Biscayne National Park
632,2002,513397.0,BISC,Biscayne National Park
633,2001,489343.0,BISC,Biscayne National Park
634,2000,393151.0,BISC,Biscayne National Park
635,1999,442585.0,BISC,Biscayne National Park
636,1998,403239.0,BISC,Biscayne National Park
637,1997,392069.0,BISC,Biscayne National Park
638,1996,338603.0,BISC,Biscayne National Park
639,1995,584519.0,BISC,Biscayne National Park
640,1994,25147.0,BISC,Biscayne National Park
641,1993,19950.0,BISC,Biscayne National Park
642,1992,307512.0,BISC,Biscayne National Park
643,1991,488134.0,BISC,Biscayne National Park
644,1990,573376.0,BISC,Biscayne National Park
645,1989,589957.0,BISC,Biscayne National Park
646,1988,531036.0,BISC,Biscayne National Park
647,1987,607968.0,BISC,Biscayne National Park
648,1986,578013.0,BISC,Biscayne National Park
649,1985,460921.0,BISC,Biscayne National Park
650,1984,340567.0,BISC,Biscayne National Park
651,1983,369082.0,BISC,Biscayne National Park
652,1982,348219.0,BISC,Biscayne National Park
653,1981,305502.0,BISC,Biscayne National Park
654,1980,248071.0,BISC,Biscayne National Park
655,1979,202938.0,BISC,Biscayne National Park
656,2019,173795.0,GUMO,Guadalupe Mountains National Park
657,2018,172347.0,GUMO,Guadalupe Mountains National Park
658,2017,225257.0,GUMO,Guadalupe Mountains National Park
659,2016,181839.0,GUMO,Guadalupe Mountains National Park
660,2015,169535.0,GUMO,Guadalupe Mountains National Park
661,2014,166868.0,GUMO,Guadalupe Mountains National Park
662,2013,145670.0,GUMO,Guadalupe Mountains National Park
663,2012,159360.0,GUMO,Guadalupe Mountains National Park
664,2011,152546.0,GUMO,Guadalupe Mountains National Park
665,2010,192210.0,GUMO,Guadalupe Mountains National Park
666,2009,198882.0,GUMO,Guadalupe Mountains National Park
667,2008,163709.0,GUMO,Guadalupe Mountains National Park
668,2007,165110.0,GUMO,Guadalupe Mountains National Park
669,2006,174157.0,GUMO,Guadalupe Mountains National Park
670,2005,170383.0,GUMO,Guadalupe Mountains National Park
671,2004,182351.0,GUMO,Guadalupe Mountains National Park
672,2003,181357.0,GUMO,Guadalupe Mountains National Park
673,2002,202911.0,GUMO,Guadalupe Mountains National Park
674,2001,222307.0,GUMO,Guadalupe Mountains National Park
675,2000,198762.0,GUMO,Guadalupe Mountains National Park
676,1999,219591.0,GUMO,Guadalupe Mountains National Park
677,1998,227924.0,GUMO,Guadalupe Mountains National Park
678,1997,231980.0,GUMO,Guadalupe Mountains National Park
679,1996,223485.0,GUMO,Guadalupe Mountains National Park
680,1995,208972.0,GUMO,Guadalupe Mountains National Park
681,1994,203520.0,GUMO,Guadalupe Mountains National Park
682,1993,201054.0,GUMO,Guadalupe Mountains National Park
683,1992,175120.0,GUMO,Guadalupe Mountains National Park
684,1991,200398.0,GUMO,Guadalupe Mountains National Park
685,1990,192890.0,GUMO,Guadalupe Mountains National Park
686,1989,168872.0,GUMO,Guadalupe Mountains National Park
687,1988,178910.0,GUMO,Guadalupe Mountains National Park
688,1987,156344.0,GUMO,Guadalupe Mountains National Park
689,1986,163313.0,GUMO,Guadalupe Mountains National Park
690,1985,147758.0,GUMO,Guadalupe Mountains National Park
691,1984,151862.0,GUMO,Guadalupe Mountains National Park
692,1983,142736.0,GUMO,Guadalupe Mountains National Park
693,1982,140620.0,GUMO,Guadalupe Mountains National Park
694,1981,142641.0,GUMO,Guadalupe Mountains National Park
695,1980,113825.0,GUMO,Guadalupe Mountains National Park
696,1979,110478.0,GUMO,Guadalupe Mountains National Park
697,2019,1970274.0,JEFF,Gateway Arch National Park
698,2018,2016180.0,JEFF,Gateway Arch National Park
699,2017,1398188.0,JEFF,Gateway Arch National Park
700,2016,1271855.0,JEFF,Gateway Arch National Park
701,2015,1698656.0,JEFF,Gateway Arch National Park
702,2014,1817091.0,JEFF,Gateway Arch National Park
703,2013,2377258.0,JEFF,Gateway Arch National Park
704,2012,2496726.0,JEFF,Gateway Arch National Park
705,2011,2259020.0,JEFF,Gateway Arch National Park
706,2010,2436110.0,JEFF,Gateway Arch National Park
707,2009,2360109.0,JEFF,Gateway Arch National Park
708,2008,1954810.0,JEFF,Gateway Arch National Park
709,2007,2385387.0,JEFF,Gateway Arch National Park
710,2006,2572072.0,JEFF,Gateway Arch National Park
711,2005,2944976.0,JEFF,Gateway Arch National Park
712,2004,2779350.0,JEFF,Gateway Arch National Park
713,2003,2685219.0,JEFF,Gateway Arch National Park
714,2002,3333454.0,JEFF,Gateway Arch National Park
715,2001,3532524.0,JEFF,Gateway Arch National Park
716,2000,3458956.0,JEFF,Gateway Arch National Park
717,1999,3481042.0,JEFF,Gateway Arch National Park
718,1998,3420352.0,JEFF,Gateway Arch National Park
719,1997,3420076.0,JEFF,Gateway Arch National Park
720,1996,3649308.0,JEFF,Gateway Arch National Park
721,1995,3234977.0,JEFF,Gateway Arch National Park
722,1994,2553696.0,JEFF,Gateway Arch National Park
723,1993,2539740.0,JEFF,Gateway Arch National Park
724,1992,2415514.0,JEFF,Gateway Arch National Park
725,1991,2622425.0,JEFF,Gateway Arch National Park
726,1990,2382612.0,JEFF,Gateway Arch National Park
727,1989,2518712.0,JEFF,Gateway Arch National Park
728,1988,2477458.0,JEFF,Gateway Arch National Park
729,1987,2364694.0,JEFF,Gateway Arch National Park
730,1986,2311147.0,JEFF,Gateway Arch National Park
731,1985,2140316.0,JEFF,Gateway Arch National Park
732,1984,1709993.0,JEFF,Gateway Arch National Park
733,1983,2948022.0,JEFF,Gateway Arch National Park
734,1982,2967323.0,JEFF,Gateway Arch National Park
735,1981,2282261.0,JEFF,Gateway Arch National Park
736,1980,1928825.0,JEFF,Gateway Arch National Park
737,1979,1859431.0,JEFF,Gateway Arch National Park
738,2019,617914.0,KICA,Kings Canyon National Park
739,2018,699023.0,KICA,Kings Canyon National Park
740,2017,692932.0,KICA,Kings Canyon National Park
741,2016,607479.0,KICA,Kings Canyon National Park
742,2015,468106.0,KICA,Kings Canyon National Park
743,2014,502268.0,KICA,Kings Canyon National Park
744,2013,567544.0,KICA,Kings Canyon National Park
745,2012,591033.0,KICA,Kings Canyon National Park
746,2011,566810.0,KICA,Kings Canyon National Park
747,2010,598205.0,KICA,Kings Canyon National Park
748,2009,609296.0,KICA,Kings Canyon National Park
749,2008,574870.0,KICA,Kings Canyon National Park
750,2007,580129.0,KICA,Kings Canyon National Park
751,2006,552766.0,KICA,Kings Canyon National Park
752,2005,594893.0,KICA,Kings Canyon National Park
753,2004,525035.0,KICA,Kings Canyon National Park
754,2003,555987.0,KICA,Kings Canyon National Park
755,2002,545420.0,KICA,Kings Canyon National Park
756,2001,541787.0,KICA,Kings Canyon National Park
757,2000,528987.0,KICA,Kings Canyon National Park
758,1999,559534.0,KICA,Kings Canyon National Park
759,1998,540212.0,KICA,Kings Canyon National Park
760,1997,484718.0,KICA,Kings Canyon National Park
761,1996,502749.0,KICA,Kings Canyon National Park
762,1995,832794.0,KICA,Kings Canyon National Park
763,1994,725930.0,KICA,Kings Canyon National Park
764,1993,636515.0,KICA,Kings Canyon National Park
765,1992,637446.0,KICA,Kings Canyon National Park
766,1991,1071022.0,KICA,Kings Canyon National Park
767,1990,1062867.0,KICA,Kings Canyon National Park
768,1989,1037349.0,KICA,Kings Canyon National Park
769,1988,1007695.0,KICA,Kings Canyon National Park
770,1987,1081172.0,KICA,Kings Canyon National Park
771,1986,1028785.0,KICA,Kings Canyon National Park
772,1985,874456.0,KICA,Kings Canyon National Park
773,1984,937262.0,KICA,Kings Canyon National Park
774,1983,765755.0,KICA,Kings Canyon National Park
775,1982,831044.0,KICA,Kings Canyon National Park
776,1981,776850.0,KICA,Kings Canyon National Park
777,1980,819065.0,KICA,Kings Canyon National Park
778,1979,804175.0,KICA,Kings Canyon National Park
779,2019,1209376.0,CARE,Capitol Reef National Park
780,2018,1227627.0,CARE,Capitol Reef National Park
781,2017,1150165.0,CARE,Capitol Reef National Park
782,2016,1064904.0,CARE,Capitol Reef National Park
783,2015,941029.0,CARE,Capitol Reef National Park
784,2014,786514.0,CARE,Capitol Reef National Park
785,2013,663670.0,CARE,Capitol Reef National Park
786,2012,673345.0,CARE,Capitol Reef National Park
787,2011,668834.0,CARE,Capitol Reef National Park
788,2010,662661.0,CARE,Capitol Reef National Park
789,2009,617208.0,CARE,Capitol Reef National Park
790,2008,604811.0,CARE,Capitol Reef National Park
791,2007,554907.0,CARE,Capitol Reef National Park
792,2006,511511.0,CARE,Capitol Reef National Park
793,2005,550255.0,CARE,Capitol Reef National Park
794,2004,549708.0,CARE,Capitol Reef National Park
795,2003,535441.0,CARE,Capitol Reef National Park
796,2002,525646.0,CARE,Capitol Reef National Park
797,2001,527760.0,CARE,Capitol Reef National Park
798,2000,612656.0,CARE,Capitol Reef National Park
799,1999,680153.0,CARE,Capitol Reef National Park
800,1998,656026.0,CARE,Capitol Reef National Park
801,1997,625680.0,CARE,Capitol Reef National Park
802,1996,678012.0,CARE,Capitol Reef National Park
803,1995,648864.0,CARE,Capitol Reef National Park
804,1994,605324.0,CARE,Capitol Reef National Park
805,1993,610707.0,CARE,Capitol Reef National Park
806,1992,675837.0,CARE,Capitol Reef National Park
807,1991,618056.0,CARE,Capitol Reef National Park
808,1990,562477.0,CARE,Capitol Reef National Park
809,1989,515278.0,CARE,Capitol Reef National Park
810,1988,469556.0,CARE,Capitol Reef National Park
811,1987,428808.0,CARE,Capitol Reef National Park
812,1986,383742.0,CARE,Capitol Reef National Park
813,1985,320503.0,CARE,Capitol Reef National Park
814,1984,296230.0,CARE,Capitol Reef National Park
815,1983,331734.0,CARE,Capitol Reef National Park
816,1982,289486.0,CARE,Capitol Reef National Park
817,1981,397789.0,CARE,Capitol Reef National Park
818,1980,342788.0,CARE,Capitol Reef National Park
819,1979,288860.0,CARE,Capitol Reef National Park
820,2019,177224.0,PINN,Pinnacles National Park
821,2018,222152.0,PINN,Pinnacles National Park
822,2017,233334.0,PINN,Pinnacles National Park
823,2016,215555.0,PINN,Pinnacles National Park
824,2015,206533.0,PINN,Pinnacles National Park
825,2014,196635.0,PINN,Pinnacles National Park
826,2013,237677.0,PINN,Pinnacles National Park
827,2012,224476.0,PINN,Pinnacles National Park
828,2011,393219.0,PINN,Pinnacles National Park
829,2010,246575.0,PINN,Pinnacles National Park
830,2009,171112.0,PINN,Pinnacles National Park
831,2008,166988.0,PINN,Pinnacles National Park
832,2007,161019.0,PINN,Pinnacles National Park
833,2006,158824.0,PINN,Pinnacles National Park
834,2005,170994.0,PINN,Pinnacles National Park
835,2004,157397.0,PINN,Pinnacles National Park
836,2003,162791.0,PINN,Pinnacles National Park
837,2002,162266.0,PINN,Pinnacles National Park
838,2001,178243.0,PINN,Pinnacles National Park
839,2000,162110.0,PINN,Pinnacles National Park
840,1999,164854.0,PINN,Pinnacles National Park
841,1998,94639.0,PINN,Pinnacles National Park
842,1997,171971.0,PINN,Pinnacles National Park
843,1996,164465.0,PINN,Pinnacles National Park
844,1995,177527.0,PINN,Pinnacles National Park
845,1994,172642.0,PINN,Pinnacles National Park
846,1993,194757.0,PINN,Pinnacles National Park
847,1992,191683.0,PINN,Pinnacles National Park
848,1991,192610.0,PINN,Pinnacles National Park
849,1990,214268.0,PINN,Pinnacles National Park
850,1989,218601.0,PINN,Pinnacles National Park
851,1988,212094.0,PINN,Pinnacles National Park
852,1987,204705.0,PINN,Pinnacles National Park
853,1986,198236.0,PINN,Pinnacles National Park
854,1985,191578.0,PINN,Pinnacles National Park
855,1984,166258.0,PINN,Pinnacles National Park
856,1983,170631.0,PINN,Pinnacles National Park
857,1982,171026.0,PINN,Pinnacles National Park
858,1981,155205.0,PINN,Pinnacles National Park
859,1980,163626.0,PINN,Pinnacles National Park
860,1979,153717.0,PINN,Pinnacles National Park
861,2019,493676.0,LAVO,Lassen Volcanic National Park
862,2018,499435.0,LAVO,Lassen Volcanic National Park
863,2017,507256.0,LAVO,Lassen Volcanic National Park
864,2016,536068.0,LAVO,Lassen Volcanic National Park
865,2015,468092.0,LAVO,Lassen Volcanic National Park
866,2014,432977.0,LAVO,Lassen Volcanic National Park
867,2013,427409.0,LAVO,Lassen Volcanic National Park
868,2012,407653.0,LAVO,Lassen Volcanic National Park
869,2011,351269.0,LAVO,Lassen Volcanic National Park
870,2010,384570.0,LAVO,Lassen Volcanic National Park
871,2009,365639.0,LAVO,Lassen Volcanic National Park
872,2008,377361.0,LAVO,Lassen Volcanic National Park
873,2007,395057.0,LAVO,Lassen Volcanic National Park
874,2006,388741.0,LAVO,Lassen Volcanic National Park
875,2005,365535.0,LAVO,Lassen Volcanic National Park
876,2004,379667.0,LAVO,Lassen Volcanic National Park
877,2003,404384.0,LAVO,Lassen Volcanic National Park
878,2002,388149.0,LAVO,Lassen Volcanic National Park
879,2001,376695.0,LAVO,Lassen Volcanic National Park
880,2000,374911.0,LAVO,Lassen Volcanic National Park
881,1999,353756.0,LAVO,Lassen Volcanic National Park
882,1998,318049.0,LAVO,Lassen Volcanic National Park
883,1997,391816.0,LAVO,Lassen Volcanic National Park
884,1996,351632.0,LAVO,Lassen Volcanic National Park
885,1995,351001.0,LAVO,Lassen Volcanic National Park
886,1994,385489.0,LAVO,Lassen Volcanic National Park
887,1993,434264.0,LAVO,Lassen Volcanic National Park
888,1992,468011.0,LAVO,Lassen Volcanic National Park
889,1991,463179.0,LAVO,Lassen Volcanic National Park
890,1990,460917.0,LAVO,Lassen Volcanic National Park
891,1989,466115.0,LAVO,Lassen Volcanic National Park
892,1988,495628.0,LAVO,Lassen Volcanic National Park
893,1987,472431.0,LAVO,Lassen Volcanic National Park
894,1986,439723.0,LAVO,Lassen Volcanic National Park
895,1985,451497.0,LAVO,Lassen Volcanic National Park
896,1984,463275.0,LAVO,Lassen Volcanic National Park
897,1983,429867.0,LAVO,Lassen Volcanic National Park
898,1982,414859.0,LAVO,Lassen Volcanic National Park
899,1981,415045.0,LAVO,Lassen Volcanic National Park
900,1980,394425.0,LAVO,Lassen Volcanic National Park
901,1979,380014.0,LAVO,Lassen Volcanic National Park
902,2019,1462461.0,MORA,Mount Rainier National Park
903,2018,1518491.0,MORA,Mount Rainier National Park
904,2017,1415867.0,MORA,Mount Rainier National Park
905,2016,1356913.0,MORA,Mount Rainier National Park
906,2015,1237231.0,MORA,Mount Rainier National Park
907,2014,1264259.0,MORA,Mount Rainier National Park
908,2013,1148552.0,MORA,Mount Rainier National Park
909,2012,1049178.0,MORA,Mount Rainier National Park
910,2011,1038229.0,MORA,Mount Rainier National Park
911,2010,1191754.0,MORA,Mount Rainier National Park
912,2009,1151654.0,MORA,Mount Rainier National Park
913,2008,1163227.0,MORA,Mount Rainier National Park
914,2007,1047685.0,MORA,Mount Rainier National Park
915,2006,1113601.0,MORA,Mount Rainier National Park
916,2005,1173897.0,MORA,Mount Rainier National Park
917,2004,1217750.0,MORA,Mount Rainier National Park
918,2003,1262351.0,MORA,Mount Rainier National Park
919,2002,1310390.0,MORA,Mount Rainier National Park
920,2001,1301103.0,MORA,Mount Rainier National Park
921,2000,1344833.0,MORA,Mount Rainier National Park
922,1999,1291397.0,MORA,Mount Rainier National Park
923,1998,1353793.0,MORA,Mount Rainier National Park
924,1997,1315773.0,MORA,Mount Rainier National Park
925,1996,1338961.0,MORA,Mount Rainier National Park
926,1995,1438227.0,MORA,Mount Rainier National Park
927,1994,1426244.0,MORA,Mount Rainier National Park
928,1993,1365213.0,MORA,Mount Rainier National Park
929,1992,1522057.0,MORA,Mount Rainier National Park
930,1991,1549412.0,MORA,Mount Rainier National Park
931,1990,1327101.0,MORA,Mount Rainier National Park
932,1989,1354302.0,MORA,Mount Rainier National Park
933,1988,1255618.0,MORA,Mount Rainier National Park
934,1987,1292027.0,MORA,Mount Rainier National Park
935,1986,1298457.0,MORA,Mount Rainier National Park
936,1985,1165640.0,MORA,Mount Rainier National Park
937,1984,1152411.0,MORA,Mount Rainier National Park
938,1983,1106306.0,MORA,Mount Rainier National Park
939,1982,1007300.0,MORA,Mount Rainier National Park
940,1981,1233671.0,MORA,Mount Rainier National Park
941,1980,1268256.0,MORA,Mount Rainier National Park
942,1979,1516703.0,MORA,Mount Rainier National Park
943,2019,4273673.0,YOSE,Yosemite National Park
944,2018,4009436.0,YOSE,Yosemite National Park
945,2017,4336890.0,YOSE,Yosemite National Park
946,2016,5028868.0,YOSE,Yosemite National Park
947,2015,4150217.0,YOSE,Yosemite National Park
948,2014,3882642.0,YOSE,Yosemite National Park
949,2013,3691191.0,YOSE,Yosemite National Park
950,2012,3853404.0,YOSE,Yosemite National Park
951,2011,3951393.0,YOSE,Yosemite National Park
952,2010,3901408.0,YOSE,Yosemite National Park
953,2009,3737472.0,YOSE,Yosemite National Park
954,2008,3431514.0,YOSE,Yosemite National Park
955,2007,3503428.0,YOSE,Yosemite National Park
956,2006,3242644.0,YOSE,Yosemite National Park
957,2005,3304144.0,YOSE,Yosemite National Park
958,2004,3280911.0,YOSE,Yosemite National Park
959,2003,3378664.0,YOSE,Yosemite National Park
960,2002,3361867.0,YOSE,Yosemite National Park
961,2001,3368731.0,YOSE,Yosemite National Park
962,2000,3400903.0,YOSE,Yosemite National Park
963,1999,3493607.0,YOSE,Yosemite National Park
964,1998,3657132.0,YOSE,Yosemite National Park
965,1997,3669970.0,YOSE,Yosemite National Park
966,1996,4046207.0,YOSE,Yosemite National Park
967,1995,3958406.0,YOSE,Yosemite National Park
968,1994,3962117.0,YOSE,Yosemite National Park
969,1993,3839645.0,YOSE,Yosemite National Park
970,1992,3819518.0,YOSE,Yosemite National Park
971,1991,3423101.0,YOSE,Yosemite National Park
972,1990,3124939.0,YOSE,Yosemite National Park
973,1989,3308159.0,YOSE,Yosemite National Park
974,1988,3216681.0,YOSE,Yosemite National Park
975,1987,3152275.0,YOSE,Yosemite National Park
976,1986,2876717.0,YOSE,Yosemite National Park
977,1985,2831952.0,YOSE,Yosemite National Park
978,1984,2738467.0,YOSE,Yosemite National Park
979,1983,2457464.0,YOSE,Yosemite National Park
980,1982,2415587.0,YOSE,Yosemite National Park
981,1981,2516893.0,YOSE,Yosemite National Park
982,1980,2490282.0,YOSE,Yosemite National Park
983,1979,2350782.0,YOSE,Yosemite National Park
984,2019,604193.0,WICA,Wind Cave National Park
985,2018,656397.0,WICA,Wind Cave National Park
986,2017,619924.0,WICA,Wind Cave National Park
987,2016,617377.0,WICA,Wind Cave National Park
988,2015,612198.0,WICA,Wind Cave National Park
989,2014,547022.0,WICA,Wind Cave National Park
990,2013,516142.0,WICA,Wind Cave National Park
991,2012,529083.0,WICA,Wind Cave National Park
992,2011,538394.0,WICA,Wind Cave National Park
993,2010,577141.0,WICA,Wind Cave National Park
994,2009,587868.0,WICA,Wind Cave National Park
995,2008,573433.0,WICA,Wind Cave National Park
996,2007,603158.0,WICA,Wind Cave National Park
997,2006,591049.0,WICA,Wind Cave National Park
998,2005,612478.0,WICA,Wind Cave National Park
999,2004,593877.0,WICA,Wind Cave National Park
1000,2003,874167.0,WICA,Wind Cave National Park
1001,2002,810298.0,WICA,Wind Cave National Park
1002,2001,650357.0,WICA,Wind Cave National Park
1003,2000,668507.0,WICA,Wind Cave National Park
1004,1999,761717.0,WICA,Wind Cave National Park
1005,1998,849974.0,WICA,Wind Cave National Park
1006,1997,832033.0,WICA,Wind Cave National Park
1007,1996,781171.0,WICA,Wind Cave National Park
1008,1995,805688.0,WICA,Wind Cave National Park
1009,1994,871061.0,WICA,Wind Cave National Park
1010,1993,537075.0,WICA,Wind Cave National Park
1011,1992,660296.0,WICA,Wind Cave National Park
1012,1991,597057.0,WICA,Wind Cave National Park
1013,1990,586464.0,WICA,Wind Cave National Park
1014,1989,561758.0,WICA,Wind Cave National Park
1015,1988,578016.0,WICA,Wind Cave National Park
1016,1987,563720.0,WICA,Wind Cave National Park
1017,1986,483334.0,WICA,Wind Cave National Park
1018,1985,477585.0,WICA,Wind Cave National Park
1019,1984,536022.0,WICA,Wind Cave National Park
1020,1983,503739.0,WICA,Wind Cave National Park
1021,1982,467392.0,WICA,Wind Cave National Park
1022,1981,503424.0,WICA,Wind Cave National Park
1023,1980,473061.0,WICA,Wind Cave National Park
1024,1979,457443.0,WICA,Wind Cave National Park
1025,2019,38127.0,NOCA,North Cascades National Park
1026,2018,30085.0,NOCA,North Cascades National Park
1027,2017,30326.0,NOCA,North Cascades National Park
1028,2016,28646.0,NOCA,North Cascades National Park
1029,2015,20677.0,NOCA,North Cascades National Park
1030,2014,23865.0,NOCA,North Cascades National Park
1031,2013,21623.0,NOCA,North Cascades National Park
1032,2012,26935.0,NOCA,North Cascades National Park
1033,2011,19208.0,NOCA,North Cascades National Park
1034,2010,24659.0,NOCA,North Cascades National Park
1035,2009,26972.0,NOCA,North Cascades National Park
1036,2008,18725.0,NOCA,North Cascades National Park
1037,2007,19534.0,NOCA,North Cascades National Park
1038,2006,19167.0,NOCA,North Cascades National Park
1039,2005,18686.0,NOCA,North Cascades National Park
1040,2004,16912.0,NOCA,North Cascades National Park
1041,2003,20724.0,NOCA,North Cascades National Park
1042,2002,20691.0,NOCA,North Cascades National Park
1043,2001,27739.0,NOCA,North Cascades National Park
1044,2000,25704.0,NOCA,North Cascades National Park
1045,1999,21488.0,NOCA,North Cascades National Park
1046,1998,32753.0,NOCA,North Cascades National Park
1047,1997,27203.0,NOCA,North Cascades National Park
1048,1996,27910.0,NOCA,North Cascades National Park
1049,1995,65984.0,NOCA,North Cascades National Park
1050,1994,19323.0,NOCA,North Cascades National Park
1051,1993,21378.0,NOCA,North Cascades National Park
1052,1992,20295.0,NOCA,North Cascades National Park
1053,1991,22796.0,NOCA,North Cascades National Park
1054,1990,456444.0,NOCA,North Cascades National Park
1055,1989,391433.0,NOCA,North Cascades National Park
1056,1988,605967.0,NOCA,North Cascades National Park
1057,1987,651606.0,NOCA,North Cascades National Park
1058,1986,683056.0,NOCA,North Cascades National Park
1059,1985,629234.0,NOCA,North Cascades National Park
1060,1984,637836.0,NOCA,North Cascades National Park
1061,1983,858041.0,NOCA,North Cascades National Park
1062,1982,857016.0,NOCA,North Cascades National Park
1063,1981,829026.0,NOCA,North Cascades National Park
1064,1980,796079.0,NOCA,North Cascades National Park
1065,1979,742997.0,NOCA,North Cascades National Park
1066,2019,60007.0,NPSA,National Park of American Samoa
1067,2018,28626.0,NPSA,National Park of American Samoa
1068,2017,69468.0,NPSA,National Park of American Samoa
1069,2016,28892.0,NPSA,National Park of American Samoa
1070,2015,13892.0,NPSA,National Park of American Samoa
1071,2014,13953.0,NPSA,National Park of American Samoa
1072,2013,17919.0,NPSA,National Park of American Samoa
1073,2012,10440.0,NPSA,National Park of American Samoa
1074,2011,8716.0,NPSA,National Park of American Samoa
1075,2010,3006.0,NPSA,National Park of American Samoa
1076,2009,3242.0,NPSA,National Park of American Samoa
1077,2008,3683.0,NPSA,National Park of American Samoa
1078,2007,6774.0,NPSA,National Park of American Samoa
1079,2006,1239.0,NPSA,National Park of American Samoa
1080,2003,0.0,NPSA,National Park of American Samoa
1081,2002,1938.0,NPSA,National Park of American Samoa
1082,2019,232689.0,VOYA,Voyageurs National Park
1083,2018,239656.0,VOYA,Voyageurs National Park
1084,2017,237250.0,VOYA,Voyageurs National Park
1085,2016,241912.0,VOYA,Voyageurs National Park
1086,2015,238313.0,VOYA,Voyageurs National Park
1087,2014,239160.0,VOYA,Voyageurs National Park
1088,2013,233390.0,VOYA,Voyageurs National Park
1089,2012,214841.0,VOYA,Voyageurs National Park
1090,2011,177184.0,VOYA,Voyageurs National Park
1091,2010,253891.0,VOYA,Voyageurs National Park
1092,2009,222429.0,VOYA,Voyageurs National Park
1093,2008,221585.0,VOYA,Voyageurs National Park
1094,2007,220650.0,VOYA,Voyageurs National Park
1095,2006,231875.0,VOYA,Voyageurs National Park
1096,2005,234577.0,VOYA,Voyageurs National Park
1097,2004,249041.0,VOYA,Voyageurs National Park
1098,2003,234231.0,VOYA,Voyageurs National Park
1099,2002,238227.0,VOYA,Voyageurs National Park
1100,2001,243374.0,VOYA,Voyageurs National Park
1101,2000,227371.0,VOYA,Voyageurs National Park
1102,1999,228898.0,VOYA,Voyageurs National Park
1103,1998,231958.0,VOYA,Voyageurs National Park
1104,1997,223418.0,VOYA,Voyageurs National Park
1105,1996,246588.0,VOYA,Voyageurs National Park
1106,1995,210938.0,VOYA,Voyageurs National Park
1107,1994,224181.0,VOYA,Voyageurs National Park
1108,1993,228143.0,VOYA,Voyageurs National Park
1109,1992,227498.0,VOYA,Voyageurs National Park
1110,1991,221857.0,VOYA,Voyageurs National Park
1111,1990,223554.0,VOYA,Voyageurs National Park
1112,1989,209626.0,VOYA,Voyageurs National Park
1113,1988,223735.0,VOYA,Voyageurs National Park
1114,1987,201727.0,VOYA,Voyageurs National Park
1115,1986,172137.0,VOYA,Voyageurs National Park
1116,1985,183984.0,VOYA,Voyageurs National Park
1117,1984,154723.0,VOYA,Voyageurs National Park
1118,1983,146454.0,VOYA,Voyageurs National Park
1119,1982,143724.0,VOYA,Voyageurs National Park
1120,1981,257490.0,VOYA,Voyageurs National Park
1121,1980,266935.0,VOYA,Voyageurs National Park
1122,1979,195277.0,VOYA,Voyageurs National Park
1123,2019,148450.0,CONG,Congaree National Park
1124,2018,145929.0,CONG,Congaree National Park
1125,2017,159595.0,CONG,Congaree National Park
1126,2016,143843.0,CONG,Congaree National Park
1127,2015,87513.0,CONG,Congaree National Park
1128,2014,120122.0,CONG,Congaree National Park
1129,2013,120340.0,CONG,Congaree National Park
1130,2012,109685.0,CONG,Congaree National Park
1131,2011,120166.0,CONG,Congaree National Park
1132,2010,121208.0,CONG,Congaree National Park
1133,2009,122970.0,CONG,Congaree National Park
1134,2008,104913.0,CONG,Congaree National Park
1135,2007,115524.0,CONG,Congaree National Park
1136,2006,134045.0,CONG,Congaree National Park
1137,2005,84301.0,CONG,Congaree National Park
1138,2004,126247.0,CONG,Congaree National Park
1139,2003,107114.0,CONG,Congaree National Park
1140,2002,101620.0,CONG,Congaree National Park
1141,2001,119738.0,CONG,Congaree National Park
1142,2000,95619.0,CONG,Congaree National Park
1143,1999,82223.0,CONG,Congaree National Park
1144,1998,93725.0,CONG,Congaree National Park
1145,1997,70716.0,CONG,Congaree National Park
1146,1996,62614.0,CONG,Congaree National Park
1147,1995,67949.0,CONG,Congaree National Park
1148,1994,67756.0,CONG,Congaree National Park
1149,1993,54669.0,CONG,Congaree National Park
1150,1992,40018.0,CONG,Congaree National Park
1151,1991,30975.0,CONG,Congaree National Park
1152,1990,23223.0,CONG,Congaree National Park
1153,1989,25445.0,CONG,Congaree National Park
1154,1988,26257.0,CONG,Congaree National Park
1155,1987,20312.0,CONG,Congaree National Park
1156,1986,16508.0,CONG,Congaree National Park
1157,1985,12332.0,CONG,Congaree National Park
1158,2019,903543.0,HALE,Haleakala National Park
1159,2018,1044084.0,HALE,Haleakala National Park
1160,2017,1112390.0,HALE,Haleakala National Park
1161,2016,1263558.0,HALE,Haleakala National Park
1162,2015,1216772.0,HALE,Haleakala National Park
1163,2014,1142040.0,HALE,Haleakala National Park
1164,2013,785300.0,HALE,Haleakala National Park
1165,2012,1094668.0,HALE,Haleakala National Park
1166,2011,956989.0,HALE,Haleakala National Park
1167,2010,1105606.0,HALE,Haleakala National Park
1168,2009,1109104.0,HALE,Haleakala National Park
1169,2008,1185068.0,HALE,Haleakala National Park
1170,2007,1322817.0,HALE,Haleakala National Park
