Park,Code,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,Decade
Wind Cave National Park,WICA,C,4.46034813,5.56034813,9.96034813,14.96034813,20.16034813,25.56034813,30.46034813,29.76034813,24.66034813,16.96034813,9.26034813,4.26034813,16.36034813,2040
North Cascades National Park,NOCA,C,5.56034813,7.76034813,11.26034813,14.96034813,19.16034813,21.76034813,25.46034813,25.86034813,21.96034813,14.66034813,8.36034813,4.86034813,15.16034813,2040
Voyageurs National Park,VOYA,C,-8.23965187,-4.13965187,2.46034813,11.56034813,18.86034813,23.56034813,25.96034813,24.96034813,19.46034813,11.46034813,1.96034813,-6.03965187,10.26034813,2040
Congaree National Park,CONG,C,13.96034813,16.26034813,20.66034813,24.86034813,28.96034813,32.36034813,34.06034813,32.96034813,29.96034813,25.26034813,20.46034813,15.36034813,24.66034813,2040
Carlsbad Caverns National Park,CAVE,C,14.36034813,17.06034813,20.76034813,25.26034813,29.96034813,34.16034813,33.96034813,33.06034813,29.86034813,25.06034813,19.46034813,14.56034813,24.86034813,2040
Zion National Park,ZION,C,12.96034813,15.26034813,19.66034813,24.16034813,30.26034813,36.06034813,38.96034813,37.46034813,33.46034813,26.36034813,18.16034813,12.46034813,25.46034813,2040
Theodore Roosevelt National Park,THRO,C,-3.13965187,-0.03965187,6.16034813,15.06034813,20.86034813,25.76034813,30.26034813,30.06034813,23.56034813,15.16034813,5.26034813,-1.63965187,13.96034813,2040
Crater Lake National Park,CRLA,C,2.06034813,2.36034813,3.76034813,6.06034813,10.36034813,15.06034813,21.06034813,21.56034813,17.96034813,11.86034813,4.06034813,1.76034813,9.86034813,2040
Glacier National Park,GLAC,C,-0.13965187,2.36034813,6.86034813,12.86034813,18.76034813,22.76034813,27.36034813,26.96034813,20.36034813,11.96034813,3.56034813,-1.13965187,12.76034813,2040
Saguaro National Park,SAGU,C,12.36034813,13.86034813,16.46034813,20.36034813,25.26034813,30.16034813,31.66034813,30.56034813,28.66034813,22.86034813,16.56034813,11.96034813,21.76034813,2040
Grand Teton National Park,GRTE,C,-2.53965187,0.16034813,4.96034813,9.36034813,14.86034813,20.36034813,25.86034813,25.36034813,19.66034813,11.86034813,2.56034813,-3.13965187,10.86034813,2040
Great Sand Dunes National Park,GRSA,C,2.36034813,4.66034813,8.86034813,14.16034813,19.66034813,25.46034813,27.76034813,26.16034813,22.56034813,16.46034813,8.16034813,3.06034813,14.96034813,2040
Black Canyon of the Gunnison National Park,BLCA,C,2.16034813,5.56034813,9.06034813,13.06034813,18.76034813,24.46034813,28.06034813,26.86034813,22.26034813,15.26034813,7.76034813,2.26034813,14.66034813,2040
Arches National Park,ARCH,C,7.66034813,11.66034813,18.66034813,22.66034813,28.66034813,34.66034813,38.66034813,36.66034813,31.66034813,23.66034813,13.66034813,7.66034813,22.56034813,2040
Grand Canyon National Park,GRCA,C,8.76034813,10.66034813,14.66034813,19.46034813,25.26034813,31.16034813,33.26034813,31.26034813,27.96034813,21.36034813,13.56034813,8.56034813,20.56034813,2040
Mesa Verde National Park,MEVE,C,4.86034813,6.86034813,10.96034813,15.46034813,20.96034813,27.06034813,30.06034813,28.46034813,24.26034813,17.46034813,10.36034813,4.96034813,16.86034813,2040
Cuyahoga Valley National Park,CUVA,C,1.96034813,3.76034813,8.76034813,15.76034813,21.56034813,26.86034813,28.96034813,27.96034813,24.06034813,17.56034813,11.16034813,4.16034813,16.06034813,2040
Glacier Bay National Park,GLBA,C,0.46034813,1.96034813,4.06034813,8.56034813,12.76034813,16.46034813,17.56034813,16.76034813,13.06034813,8.56034813,3.76034813,1.76034813,8.86034813,2040
Denali National Park,DENA,C,-11.93965187,-9.43965187,-2.73965187,5.46034813,14.06034813,20.56034813,21.26034813,17.76034813,11.76034813,0.16034813,-9.43965187,-10.33965187,3.96034813,2040
Rocky Mountain National Park,ROMO,C,-1.23965187,-0.03965187,3.76034813,7.36034813,12.46034813,18.26034813,22.16034813,20.96034813,16.56034813,10.26034813,2.86034813,-1.43965187,9.36034813,2040
Joshua Tree National Park,JOTR,C,15.76034813,16.86034813,19.76034813,24.76034813,29.76034813,34.46034813,37.16034813,36.56034813,33.56034813,27.36034813,20.26034813,15.46034813,25.96034813,2040
Everglades National Park,EVER,C,25.56034813,26.86034813,27.96034813,29.86034813,31.86034813,33.06034813,33.86034813,33.76034813,32.96034813,31.26034813,28.56034813,26.46034813,30.16034813,2040
Badlands National Park,BADL,C,2.86034813,5.36034813,10.76034813,17.66034813,23.36034813,28.66034813,33.66034813,33.36034813,27.76034813,20.06034813,10.06034813,4.26034813,18.16034813,2040
Petrified Forest National Park,PEFO,C,9.36034813,12.46034813,16.36034813,20.96034813,26.46034813,31.86034813,33.56034813,31.76034813,28.46034813,22.36034813,14.86034813,9.26034813,21.56034813,2040
Hot Springs National Park,HOSP,C,11.46034813,14.06034813,18.86034813,23.76034813,27.56034813,31.86034813,34.46034813,34.76034813,30.46034813,24.46034813,17.86034813,12.06034813,23.46034813,2040
Indiana Dunes National Park,INDU,C,0.96034813,3.26034813,8.26034813,15.66034813,21.56034813,26.46034813,28.76034813,27.96034813,24.56034813,17.96034813,10.36034813,3.06034813,15.76034813,2040
Death Valley National Park,DEVA,C,20.06034813,23.56034813,28.46034813,33.16034813,38.76034813,43.96034813,47.56034813,46.56034813,42.06034813,34.46034813,25.76034813,19.06034813,33.66034813,2040
Olympic National Park,OLYM,C,5.91854554,8.31854554,11.31854554,14.91854554,18.61854554,21.21854554,24.31854554,24.51854554,21.41854554,14.91854554,9.11854554,6.71854554,15.11854554,2050
Acadia National Park,ACAD,C,0.81854554,2.81854554,6.41854554,12.91854554,19.41854554,24.51854554,27.31854554,26.91854554,22.51854554,15.91854554,10.01854554,4.01854554,14.51854554,2050
Great Smoky Mountains National Park,GRSM,C,5.81854554,7.71854554,11.91854554,17.51854554,20.81854554,24.01854554,25.31854554,25.21854554,23.01854554,18.81854554,12.51854554,7.61854554,16.71854554,2050
Redwood National Park,REDW,C,13.01854554,13.91854554,14.41854554,14.91854554,17.01854554,18.51854554,19.41854554,19.51854554,19.51854554,18.11854554,14.81854554,12.61854554,16.31854554,2050
Shenandoah National Park,SHEN,C,2.71854554,4.71854554,9.51854554,16.11854554,20.31854554,24.71854554,26.41854554,25.81854554,21.41854554,15.81854554,11.31854554,4.41854554,15.31854554,2050
Dry Tortugas National Park,DRTO,C,24.21854554,24.91854554,26.61854554,28.51854554,31.11854554,33.31854554,33.91854554,34.31854554,33.21854554,30.41854554,27.31854554,25.31854554,29.41854554,2050
Bryce Canyon National Park,BRCA,C,3.81854554,4.71854554,8.41854554,13.01854554,18.91854554,24.71854554,27.91854554,26.31854554,22.11854554,15.71854554,8.21854554,3.51854554,14.81854554,2050
Yellowstone National Park,YELL,C,0.11854554,1.91854554,6.01854554,10.51854554,16.11854554,21.41854554,27.41854554,27.01854554,20.81854554,12.71854554,4.31854554,-0.68145446,12.31854554,2050
Sequoia National Park,SEQU,C,9.51854554,9.81854554,11.41854554,13.91854554,18.81854554,23.51854554,27.81854554,27.91854554,24.71854554,19.01854554,12.81854554,8.81854554,17.41854554,2050
Mammoth Cave National Park,MACA,C,7.81854554,10.51854554,15.91854554,22.01854554,26.31854554,30.31854554,32.31854554,31.91854554,28.51854554,22.51854554,16.01854554,9.51854554,21.21854554,2050
Great Basin National Park,GRBA,C,4.91854554,6.01854554,10.31854554,13.91854554,19.51854554,25.51854554,30.01854554,29.01854554,23.71854554,16.81854554,9.21854554,4.81854554,16.21854554,2050
Channel Islands National Park,CHIS,C,18.71854554,18.51854554,18.91854554,20.41854554,21.71854554,23.01854554,25.71854554,25.91854554,25.71854554,24.01854554,21.31854554,18.81854554,21.91854554,2050
Canyonlands National Park,CANY,C,4.81854554,8.21854554,14.21854554,19.11854554,25.11854554,31.31854554,34.81854554,33.11854554,28.01854554,20.31854554,11.31854554,4.81854554,19.71854554,2050
Biscayne National Park,BISC,C,24.41854554,25.21854554,26.01854554,27.21854554,28.91854554,30.71854554,31.71854554,31.81854554,31.21854554,29.41854554,27.31854554,25.41854554,28.31854554,2050
Guadalupe Mountains National Park,GUMO,C,10.71854554,12.51854554,16.21854554,20.41854554,25.11854554,29.31854554,28.71854554,27.91854554,25.01854554,20.81854554,15.31854554,10.71854554,20.31854554,2050
Kings Canyon National Park,KICA,C,13.41854554,13.51854554,15.71854554,17.81854554,23.21854554,27.61854554,31.71854554,31.91854554,29.01854554,23.31854554,16.71854554,12.01854554,21.41854554,2050
Capitol Reef National Park,CARE,C,5.41854554,8.31854554,13.01854554,18.41854554,23.71854554,29.61854554,32.51854554,31.21854554,26.91854554,19.31854554,10.91854554,5.21854554,18.81854554,2050
Pinnacles National Park,PINN,C,17.61854554,18.31854554,20.31854554,23.21854554,27.71854554,32.21854554,36.21854554,36.01854554,33.41854554,28.51854554,21.71854554,17.41854554,26.11854554,2050
Lassen Volcanic National Park,LAVO,C,4.71854554,5.51854554,7.51854554,11.51854554,15.81854554,20.81854554,24.91854554,24.71854554,21.21854554,15.01854554,8.01854554,4.01854554,13.71854554,2050
Mount Rainier National Park,MORA,C,2.71854554,3.21854554,4.41854554,6.71854554,10.71854554,13.71854554,18.51854554,19.21854554,15.61854554,9.91854554,4.01854554,2.11854554,9.21854554,2050
Yosemite National Park,YOSE,C,9.51854554,12.81854554,15.91854554,19.91854554,23.81854554,28.51854554,33.31854554,33.01854554,29.71854554,24.21854554,15.41854554,9.71854554,21.31854554,2050
Wind Cave National Park,WICA,C,4.91854554,6.01854554,10.41854554,15.41854554,20.61854554,26.01854554,30.91854554,30.21854554,25.11854554,17.41854554,9.71854554,4.71854554,16.81854554,2050
North Cascades National Park,NOCA,C,6.01854554,8.21854554,11.71854554,15.41854554,19.61854554,22.21854554,25.91854554,26.31854554,22.41854554,15.11854554,8.81854554,5.31854554,15.61854554,2050
Voyageurs National Park,VOYA,C,-7.78145446,-3.68145446,2.91854554,12.01854554,19.31854554,24.01854554,26.41854554,25.41854554,19.91854554,11.91854554,2.41854554,-5.58145446,10.71854554,2050
Congaree National Park,CONG,C,14.41854554,16.71854554,21.11854554,25.31854554,29.41854554,32.81854554,34.51854554,33.41854554,30.41854554,25.71854554,20.91854554,15.81854554,25.11854554,2050
Carlsbad Caverns National Park,CAVE,C,14.81854554,17.51854554,21.21854554,25.71854554,30.41854554,34.61854554,34.41854554,33.51854554,30.31854554,25.51854554,19.91854554,15.01854554,25.31854554,2050
Zion National Park,ZION,C,13.41854554,15.71854554,20.11854554,24.61854554,30.71854554,36.51854554,39.41854554,37.91854554,33.91854554,26.81854554,18.61854554,12.91854554,25.91854554,2050
Theodore Roosevelt National Park,THRO,C,-2.68145446,0.41854554,6.61854554,15.51854554,21.31854554,26.21854554,30.71854554,30.51854554,24.01854554,15.61854554,5.71854554,-1.18145446,14.41854554,2050
Crater Lake National Park,CRLA,C,2.51854554,2.81854554,4.21854554,6.51854554,10.81854554,15.51854554,21.51854554,22.01854554,18.41854554,12.31854554,4.51854554,2.21854554,10.31854554,2050
Glacier National Park,GLAC,C,0.31854554,2.81854554,7.31854554,13.31854554,19.21854554,23.21854554,27.81854554,27.41854554,20.81854554,12.41854554,4.01854554,-0.68145446,13.21854554,2050
Saguaro National Park,SAGU,C,12.81854554,14.31854554,16.91854554,20.81854554,25.71854554,30.61854554,32.11854554,31.01854554,29.11854554,23.31854554,17.01854554,12.41854554,22.21854554,2050
Grand Teton National Park,GRTE,C,-2.08145446,0.61854554,5.41854554,9.81854554,15.31854554,20.81854554,26.31854554,25.81854554,20.11854554,12.31854554,3.01854554,-2.68145446,11.31854554,2050
Great Sand Dunes National Park,GRSA,C,2.81854554,5.11854554,9.31854554,14.61854554,20.11854554,25.91854554,28.21854554,26.61854554,23.01854554,16.91854554,8.61854554,3.51854554,15.41854554,2050
Black Canyon of the Gunnison National Park,BLCA,C,2.61854554,6.01854554,9.51854554,13.51854554,19.21854554,24.91854554,28.51854554,27.31854554,22.71854554,15.71854554,8.21854554,2.71854554,15.11854554,2050
Arches National Park,ARCH,C,8.11854554,12.11854554,19.11854554,23.11854554,29.11854554,35.11854554,39.11854554,37.11854554,32.11854554,24.11854554,14.11854554,8.11854554,23.01854554,2050
Grand Canyon National Park,GRCA,C,9.21854554,11.11854554,15.11854554,19.91854554,25.71854554,31.61854554,33.71854554,31.71854554,28.41854554,21.81854554,14.01854554,9.01854554,21.01854554,2050
Mesa Verde National Park,MEVE,C,5.31854554,7.31854554,11.41854554,15.91854554,21.41854554,27.51854554,30.51854554,28.91854554,24.71854554,17.91854554,10.81854554,5.41854554,17.31854554,2050
Cuyahoga Valley National Park,CUVA,C,2.41854554,4.21854554,9.21854554,16.21854554,22.01854554,27.31854554,29.41854554,28.41854554,24.51854554,18.01854554,11.61854554,4.61854554,16.51854554,2050
Glacier Bay National Park,GLBA,C,0.91854554,2.41854554,4.51854554,9.01854554,13.21854554,16.91854554,18.01854554,17.21854554,13.51854554,9.01854554,4.21854554,2.21854554,9.31854554,2050
Denali National Park,DENA,C,-11.48145446,-8.98145446,-2.28145446,5.91854554,14.51854554,21.01854554,21.71854554,18.21854554,12.21854554,0.61854554,-8.98145446,-9.88145446,4.41854554,2050
Rocky Mountain National Park,ROMO,C,-0.78145446,0.41854554,4.21854554,7.81854554,12.91854554,18.71854554,22.61854554,21.41854554,17.01854554,10.71854554,3.31854554,-0.98145446,9.81854554,2050
Joshua Tree National Park,JOTR,C,16.21854554,17.31854554,20.21854554,25.21854554,30.21854554,34.91854554,37.61854554,37.01854554,34.01854554,27.81854554,20.71854554,15.91854554,26.41854554,2050
Everglades National Park,EVER,C,26.01854554,27.31854554,28.41854554,30.31854554,32.31854554,33.51854554,34.31854554,34.21854554,33.41854554,31.71854554,29.01854554,26.91854554,30.61854554,2050
Badlands National Park,BADL,C,3.31854554,5.81854554,11.21854554,18.11854554,23.81854554,29.11854554,34.11854554,33.81854554,28.21854554,20.51854554,10.51854554,4.71854554,18.61854554,2050
Petrified Forest National Park,PEFO,C,9.81854554,12.91854554,16.81854554,21.41854554,26.91854554,32.31854554,34.01854554,32.21854554,28.91854554,22.81854554,15.31854554,9.71854554,22.01854554,2050
Hot Springs National Park,HOSP,C,11.91854554,14.51854554,19.31854554,24.21854554,28.01854554,32.31854554,34.91854554,35.21854554,30.91854554,24.91854554,18.31854554,12.51854554,23.91854554,2050
Indiana Dunes National Park,INDU,C,1.41854554,3.71854554,8.71854554,16.11854554,22.01854554,26.91854554,29.21854554,28.41854554,25.01854554,18.41854554,10.81854554,3.51854554,16.21854554,2050
Death Valley National Park,DEVA,C,20.51854554,24.01854554,28.91854554,33.61854554,39.21854554,44.41854554,48.01854554,47.01854554,42.51854554,34.91854554,26.21854554,19.51854554,34.11854554,2050
Olympic National Park,OLYM,C,6.48316505,8.88316505,11.88316505,15.48316505,19.18316505,21.78316505,24.88316505,25.08316505,21.98316505,15.48316505,9.68316505,7.28316505,15.68316505,2060
Acadia National Park,ACAD,C,1.38316505,3.38316505,6.98316505,13.48316505,19.98316505,25.08316505,27.88316505,27.48316505,23.08316505,16.48316505,10.58316505,4.58316505,15.08316505,2060
Great Smoky Mountains National Park,GRSM,C,6.38316505,8.28316505,12.48316505,18.08316505,21.38316505,24.58316505,25.88316505,25.78316505,23.58316505,19.38316505,13.08316505,8.18316505,17.28316505,2060
Redwood National Park,REDW,C,13.58316505,14.48316505,14.98316505,15.48316505,17.58316505,19.08316505,19.98316505,20.08316505,20.08316505,18.68316505,15.38316505,13.18316505,16.88316505,2060
Shenandoah National Park,SHEN,C,3.28316505,5.28316505,10.08316505,16.68316505,20.88316505,25.28316505,26.98316505,26.38316505,21.98316505,16.38316505,11.88316505,4.98316505,15.88316505,2060
Dry Tortugas National Park,DRTO,C,24.78316505,25.48316505,27.18316505,29.08316505,31.68316505,33.88316505,34.48316505,34.88316505,33.78316505,30.98316505,27.88316505,25.88316505,29.98316505,2060
Bryce Canyon National Park,BRCA,C,4.38316505,5.28316505,8.98316505,13.58316505,19.48316505,25.28316505,28.48316505,26.88316505,22.68316505,16.28316505,8.78316505,4.08316505,15.38316505,2060
Yellowstone National Park,YELL,C,0.68316505,2.48316505,6.58316505,11.08316505,16.68316505,21.98316505,27.98316505,27.58316505,21.38316505,13.28316505,4.88316505,-0.11683495,12.88316505,2060
Sequoia National Park,SEQU,C,10.08316505,10.38316505,11.98316505,14.48316505,19.38316505,24.08316505,28.38316505,28.48316505,25.28316505,19.58316505,13.38316505,9.38316505,17.98316505,2060
Mammoth Cave National Park,MACA,C,8.38316505,11.08316505,16.48316505,22.58316505,26.88316505,30.88316505,32.88316505,32.48316505,29.08316505,23.08316505,16.58316505,10.08316505,21.78316505,2060
Great Basin National Park,GRBA,C,5.48316505,6.58316505,10.88316505,14.48316505,20.08316505,26.08316505,30.58316505,29.58316505,24.28316505,17.38316505,9.78316505,5.38316505,16.78316505,2060
Channel Islands National Park,CHIS,C,19.28316505,19.08316505,19.48316505,20.98316505,22.28316505,23.58316505,26.28316505,26.48316505,26.28316505,24.58316505,21.88316505,19.38316505,22.48316505,2060
Canyonlands National Park,CANY,C,5.38316505,8.78316505,14.78316505,19.68316505,25.68316505,31.88316505,35.38316505,33.68316505,28.58316505,20.88316505,11.88316505,5.38316505,20.28316505,2060
Biscayne National Park,BISC,C,24.98316505,25.78316505,26.58316505,27.78316505,29.48316505,31.28316505,32.28316505,32.38316505,31.78316505,29.98316505,27.88316505,25.98316505,28.88316505,2060
Guadalupe Mountains National Park,GUMO,C,11.28316505,13.08316505,16.78316505,20.98316505,25.68316505,29.88316505,29.28316505,28.48316505,25.58316505,21.38316505,15.88316505,11.28316505,20.88316505,2060
Kings Canyon National Park,KICA,C,13.98316505,14.08316505,16.28316505,18.38316505,23.78316505,28.18316505,32.28316505,32.48316505,29.58316505,23.88316505,17.28316505,12.58316505,21.98316505,2060
Capitol Reef National Park,CARE,C,5.98316505,8.88316505,13.58316505,18.98316505,24.28316505,30.18316505,33.08316505,31.78316505,27.48316505,19.88316505,11.48316505,5.78316505,19.38316505,2060
Pinnacles National Park,PINN,C,18.18316505,18.88316505,20.88316505,23.78316505,28.28316505,32.78316505,36.78316505,36.58316505,33.98316505,29.08316505,22.28316505,17.98316505,26.68316505,2060
Lassen Volcanic National Park,LAVO,C,5.28316505,6.08316505,8.08316505,12.08316505,16.38316505,21.38316505,25.48316505,25.28316505,21.78316505,15.58316505,8.58316505,4.58316505,14.28316505,2060
Mount Rainier National Park,MORA,C,3.28316505,3.78316505,4.98316505,7.28316505,11.28316505,14.28316505,19.08316505,19.78316505,16.18316505,10.48316505,4.58316505,2.68316505,9.78316505,2060
Yosemite National Park,YOSE,C,10.08316505,13.38316505,16.48316505,20.48316505,24.38316505,29.08316505,33.88316505,33.58316505,30.28316505,24.78316505,15.98316505,10.28316505,21.88316505,2060
Wind Cave National Park,WICA,C,5.48316505,6.58316505,10.98316505,15.98316505,21.18316505,26.58316505,31.48316505,30.78316505,25.68316505,17.98316505,10.28316505,5.28316505,17.38316505,2060
North Cascades National Park,NOCA,C,6.58316505,8.78316505,12.28316505,15.98316505,20.18316505,22.78316505,26.48316505,26.88316505,22.98316505,15.68316505,9.38316505,5.88316505,16.18316505,2060
Voyageurs National Park,VOYA,C,-7.21683495,-3.11683495,3.48316505,12.58316505,19.88316505,24.58316505,26.98316505,25.98316505,20.48316505,12.48316505,2.98316505,-5.01683495,11.28316505,2060
Congaree National Park,CONG,C,14.98316505,17.28316505,21.68316505,25.88316505,29.98316505,33.38316505,35.08316505,33.98316505,30.98316505,26.28316505,21.48316505,16.38316505,25.68316505,2060
Carlsbad Caverns National Park,CAVE,C,15.38316505,18.08316505,21.78316505,26.28316505,30.98316505,35.18316505,34.98316505,34.08316505,30.88316505,26.08316505,20.48316505,15.58316505,25.88316505,2060
Zion National Park,ZION,C,13.98316505,16.28316505,20.68316505,25.18316505,31.28316505,37.08316505,39.98316505,38.48316505,34.48316505,27.38316505,19.18316505,13.48316505,26.48316505,2060
Theodore Roosevelt National Park,THRO,C,-2.11683495,0.98316505,7.18316505,16.08316505,21.88316505,26.78316505,31.28316505,31.08316505,24.58316505,16.18316505,6.28316505,-0.61683495,14.98316505,2060
Crater Lake National Park,CRLA,C,3.08316505,3.38316505,4.78316505,7.08316505,11.38316505,16.08316505,22.08316505,22.58316505,18.98316505,12.88316505,5.08316505,2.78316505,10.88316505,2060
Glacier National Park,GLAC,C,0.88316505,3.38316505,7.88316505,13.88316505,19.78316505,23.78316505,28.38316505,27.98316505,21.38316505,12.98316505,4.58316505,-0.11683495,13.78316505,2060
Saguaro National Park,SAGU,C,13.38316505,14.88316505,17.48316505,21.38316505,26.28316505,31.18316505,32.68316505,31.58316505,29.68316505,23.88316505,17.58316505,12.98316505,22.78316505,2060
Grand Teton National Park,GRTE,C,-1.51683495,1.18316505,5.98316505,10.38316505,15.88316505,21.38316505,26.88316505,26.38316505,20.68316505,12.88316505,3.58316505,-2.11683495,11.88316505,2060
Great Sand Dunes National Park,GRSA,C,3.38316505,5.68316505,9.88316505,15.18316505,20.68316505,26.48316505,28.78316505,27.18316505,23.58316505,17.48316505,9.18316505,4.08316505,15.98316505,2060
Black Canyon of the Gunnison National Park,BLCA,C,3.18316505,6.58316505,10.08316505,14.08316505,19.78316505,25.48316505,29.08316505,27.88316505,23.28316505,16.28316505,8.78316505,3.28316505,15.68316505,2060
Arches National Park,ARCH,C,8.68316505,12.68316505,19.68316505,23.68316505,29.68316505,35.68316505,39.68316505,37.68316505,32.68316505,24.68316505,14.68316505,8.68316505,23.58316505,2060
Grand Canyon National Park,GRCA,C,9.78316505,11.68316505,15.68316505,20.48316505,26.28316505,32.18316505,34.28316505,32.28316505,28.98316505,22.38316505,14.58316505,9.58316505,21.58316505,2060
Mesa Verde National Park,MEVE,C,5.88316505,7.88316505,11.98316505,16.48316505,21.98316505,28.08316505,31.08316505,29.48316505,25.28316505,18.48316505,11.38316505,5.98316505,17.88316505,2060
Cuyahoga Valley National Park,CUVA,C,2.98316505,4.78316505,9.78316505,16.78316505,22.58316505,27.88316505,29.98316505,28.98316505,25.08316505,18.58316505,12.18316505,5.18316505,17.08316505,2060
Glacier Bay National Park,GLBA,C,1.48316505,2.98316505,5.08316505,9.58316505,13.78316505,17.48316505,18.58316505,17.78316505,14.08316505,9.58316505,4.78316505,2.78316505,9.88316505,2060
Denali National Park,DENA,C,-10.91683495,-8.41683495,-1.71683495,6.48316505,15.08316505,21.58316505,22.28316505,18.78316505,12.78316505,1.18316505,-8.41683495,-9.31683495,4.98316505,2060
Rocky Mountain National Park,ROMO,C,-0.21683495,0.98316505,4.78316505,8.38316505,13.48316505,19.28316505,23.18316505,21.98316505,17.58316505,11.28316505,3.88316505,-0.41683495,10.38316505,2060
Joshua Tree National Park,JOTR,C,16.78316505,17.88316505,20.78316505,25.78316505,30.78316505,35.48316505,38.18316505,37.58316505,34.58316505,28.38316505,21.28316505,16.48316505,26.98316505,2060
Everglades National Park,EVER,C,26.58316505,27.88316505,28.98316505,30.88316505,32.88316505,34.08316505,34.88316505,34.78316505,33.98316505,32.28316505,29.58316505,27.48316505,31.18316505,2060
Badlands National Park,BADL,C,3.88316505,6.38316505,11.78316505,18.68316505,24.38316505,29.68316505,34.68316505,34.38316505,28.78316505,21.08316505,11.08316505,5.28316505,19.18316505,2060
Petrified Forest National Park,PEFO,C,10.38316505,13.48316505,17.38316505,21.98316505,27.48316505,32.88316505,34.58316505,32.78316505,29.48316505,23.38316505,15.88316505,10.28316505,22.58316505,2060
Hot Springs National Park,HOSP,C,12.48316505,15.08316505,19.88316505,24.78316505,28.58316505,32.88316505,35.48316505,35.78316505,31.48316505,25.48316505,18.88316505,13.08316505,24.48316505,2060
Indiana Dunes National Park,INDU,C,1.98316505,4.28316505,9.28316505,16.68316505,22.58316505,27.48316505,29.78316505,28.98316505,25.58316505,18.98316505,11.38316505,4.08316505,16.78316505,2060
Death Valley National Park,DEVA,C,21.08316505,24.58316505,29.48316505,34.18316505,39.78316505,44.98316505,48.58316505,47.58316505,43.08316505,35.48316505,26.78316505,20.08316505,34.68316505,2060
Olympic National Park,OLYM,C,7.14263403,9.54263403,12.54263403,16.14263403,19.84263403,22.44263403,25.54263403,25.74263403,22.64263403,16.14263403,10.34263403,7.94263403,16.34263403,2070
Acadia National Park,ACAD,C,2.04263403,4.04263403,7.64263403,14.14263403,20.64263403,25.74263403,28.54263403,28.14263403,23.74263403,17.14263403,11.24263403,5.24263403,15.74263403,2070
Great Smoky Mountains National Park,GRSM,C,7.04263403,8.94263403,13.14263403,18.74263403,22.04263403,25.24263403,26.54263403,26.44263403,24.24263403,20.04263403,13.74263403,8.84263403,17.94263403,2070
Redwood National Park,REDW,C,14.24263403,15.14263403,15.64263403,16.14263403,18.24263403,19.74263403,20.64263403,20.74263403,20.74263403,19.34263403,16.04263403,13.84263403,17.54263403,2070
Shenandoah National Park,SHEN,C,3.94263403,5.94263403,10.74263403,17.34263403,21.54263403,25.94263403,27.64263403,27.04263403,22.64263403,17.04263403,12.54263403,5.64263403,16.54263403,2070
Dry Tortugas National Park,DRTO,C,25.44263403,26.14263403,27.84263403,29.74263403,32.34263403,34.54263403,35.14263403,35.54263403,34.44263403,31.64263403,28.54263403,26.54263403,30.64263403,2070
Bryce Canyon National Park,BRCA,C,5.04263403,5.94263403,9.64263403,14.24263403,20.14263403,25.94263403,29.14263403,27.54263403,23.34263403,16.94263403,9.44263403,4.74263403,16.04263403,2070
Yellowstone National Park,YELL,C,1.34263403,3.14263403,7.24263403,11.74263403,17.34263403,22.64263403,28.64263403,28.24263403,22.04263403,13.94263403,5.54263403,0.54263403,13.54263403,2070
Sequoia National Park,SEQU,C,10.74263403,11.04263403,12.64263403,15.14263403,20.04263403,24.74263403,29.04263403,29.14263403,25.94263403,20.24263403,14.04263403,10.04263403,18.64263403,2070
Mammoth Cave National Park,MACA,C,9.04263403,11.74263403,17.14263403,23.24263403,27.54263403,31.54263403,33.54263403,33.14263403,29.74263403,23.74263403,17.24263403,10.74263403,22.44263403,2070
Great Basin National Park,GRBA,C,6.14263403,7.24263403,11.54263403,15.14263403,20.74263403,26.74263403,31.24263403,30.24263403,24.94263403,18.04263403,10.44263403,6.04263403,17.44263403,2070
Channel Islands National Park,CHIS,C,19.94263403,19.74263403,20.14263403,21.64263403,22.94263403,24.24263403,26.94263403,27.14263403,26.94263403,25.24263403,22.54263403,20.04263403,23.14263403,2070
Canyonlands National Park,CANY,C,6.04263403,9.44263403,15.44263403,20.34263403,26.34263403,32.54263403,36.04263403,34.34263403,29.24263403,21.54263403,12.54263403,6.04263403,20.94263403,2070
Biscayne National Park,BISC,C,25.64263403,26.44263403,27.24263403,28.44263403,30.14263403,31.94263403,32.94263403,33.04263403,32.44263403,30.64263403,28.54263403,26.64263403,29.54263403,2070
Guadalupe Mountains National Park,GUMO,C,11.94263403,13.74263403,17.44263403,21.64263403,26.34263403,30.54263403,29.94263403,29.14263403,26.24263403,22.04263403,16.54263403,11.94263403,21.54263403,2070
Kings Canyon National Park,KICA,C,14.64263403,14.74263403,16.94263403,19.04263403,24.44263403,28.84263403,32.94263403,33.14263403,30.24263403,24.54263403,17.94263403,13.24263403,22.64263403,2070
Capitol Reef National Park,CARE,C,6.64263403,9.54263403,14.24263403,19.64263403,24.94263403,30.84263403,33.74263403,32.44263403,28.14263403,20.54263403,12.14263403,6.44263403,20.04263403,2070
Pinnacles National Park,PINN,C,18.84263403,19.54263403,21.54263403,24.44263403,28.94263403,33.44263403,37.44263403,37.24263403,34.64263403,29.74263403,22.94263403,18.64263403,27.34263403,2070
