Park,Code,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,Decade
North Cascades National Park,NOCA,F,40.9,44.8,51,57.8,65.3,69.9,76.7,77.3,70.4,57.2,45.9,39.6,58.1,2020
North Cascades National Park,NOCA,C,4.9,7.1,10.6,14.3,18.5,21.1,24.8,25.2,21.3,14,7.7,4.2,14.5,2020
Voyageurs National Park,VOYA,F,15.9,23.3,35.2,51.6,64.7,73.3,77.5,75.8,65.9,51.4,34.3,20,49.2,2020
Voyageurs National Park,VOYA,C,-8.9,-4.8,1.8,10.9,18.2,22.9,25.3,24.3,18.8,10.8,1.3,-6.7,9.6,2020
Congaree National Park,CONG,F,55.9,60.1,68,75.6,82.9,89.1,92.2,90.1,84.8,76.3,67.7,58.5,75.2,2020
Congaree National Park,CONG,C,13.3,15.6,20,24.2,28.3,31.7,33.4,32.3,29.3,24.6,19.8,14.7,24,2020
Carlsbad Caverns National Park,CAVE,F,56.7,61.5,68.2,76.2,84.7,92.3,91.9,90.4,84.5,75.9,65.9,57,75.5,2020
Carlsbad Caverns National Park,CAVE,C,13.7,16.4,20.1,24.6,29.3,33.5,33.3,32.4,29.2,24.4,18.8,13.9,24.2,2020
Zion National Park,ZION,F,54.2,58.3,66.2,74.3,85.2,95.7,101,98.3,91,78.3,63.5,53.3,76.7,2020
Zion National Park,ZION,C,12.3,14.6,19,23.5,29.6,35.4,38.3,36.8,32.8,25.7,17.5,11.8,24.8,2020
Theodore Roosevelt National Park,THRO,F,25.2,30.7,41.9,57.9,68.4,77.1,85.2,85,73.3,58.1,40.3,27.9,56,2020
Theodore Roosevelt National Park,THRO,C,-3.8,-0.7,5.5,14.4,20.2,25.1,29.6,29.4,22.9,14.5,4.6,-2.3,13.3,2020
Crater Lake National Park,CRLA,F,34.6,35.1,37.5,41.7,49.4,57.9,68.8,69.7,63.2,52.1,38.2,34,48.5,2020
Crater Lake National Park,CRLA,C,1.4,1.7,3.1,5.4,9.7,14.4,20.4,20.9,17.3,11.2,3.4,1.1,9.2,2020
Glacier National Park,GLAC,F,30.5,35,43.2,54,64.5,71.7,80,79.3,67.5,52.3,37.3,28.8,53.8,2020
Glacier National Park,GLAC,C,-0.8,1.7,6.2,12.2,18.1,22.1,26.7,26.3,19.7,11.3,2.9,-1.8,12.1,2020
Saguaro National Park,SAGU,F,53.1,55.7,60.5,67.5,76.2,85.1,87.8,85.9,82.4,72,60.6,52.3,70,2020
Saguaro National Park,SAGU,C,11.7,13.2,15.8,19.7,24.6,29.5,31,29.9,28,22.2,15.9,11.3,21.1,2020
Grand Teton National Park,GRTE,F,26.3,31.1,39.8,47.6,57.5,67.4,77.3,76.5,66.2,52.2,35.4,25.2,50.3,2020
Grand Teton National Park,GRTE,C,-3.2,-0.5,4.3,8.7,14.2,19.7,25.2,24.7,19,11.2,1.9,-3.8,10.2,2020
Great Sand Dunes National Park,GRSA,F,35.1,39.2,46.8,56.3,66.2,76.6,80.8,77.9,71.5,60.5,45.5,36.4,57.7,2020
Great Sand Dunes National Park,GRSA,C,1.7,4,8.2,13.5,19,24.8,27.1,25.5,21.9,15.8,7.5,2.4,14.3,2020
Black Canyon of the Gunnison National Park,BLCA,F,34.7,40.8,47.1,54.3,64.6,74.9,81.4,79.2,70.8,58.3,44.7,34.8,57.2,2020
Black Canyon of the Gunnison National Park,BLCA,C,1.5,4.9,8.4,12.4,18.1,23.8,27.4,26.2,21.6,14.6,7.1,1.6,14,2020
Arches National Park,ARCH,F,44,52,64,71,82,93,100,97,88,74,56,45,71.4,2020
Arches National Park,ARCH,C,7,11,18,22,28,34,38,36,31,23,13,7,21.9,2020
Grand Canyon National Park,GRCA,F,46.6,50,57.2,65.9,76.2,86.9,90.7,87.1,81.2,69.2,55.2,46.3,67.8,2020
Grand Canyon National Park,GRCA,C,8.1,10,14,18.8,24.6,30.5,32.6,30.6,27.3,20.7,12.9,7.9,19.9,2020
Mesa Verde National Park,MEVE,F,39.5,43.1,50.5,58.6,68.6,79.6,84.9,82.1,74.5,62.3,49.4,39.7,61.2,2020
Mesa Verde National Park,MEVE,C,4.2,6.2,10.3,14.8,20.3,26.4,29.4,27.8,23.6,16.8,9.7,4.3,16.2,2020
Cuyahoga Valley National Park,CUVA,F,34.4,37.5,46.6,59.2,69.7,79.1,82.9,81.2,74.2,62.5,50.9,38.3,59.8,2020
Cuyahoga Valley National Park,CUVA,C,1.3,3.1,8.1,15.1,20.9,26.2,28.3,27.3,23.4,16.9,10.5,3.5,15.4,2020
Glacier Bay National Park,GLBA,F,31.6,34.3,38.1,46.2,53.7,60.4,62.5,61,54.4,46.2,37.6,33.9,46.7,2020
Glacier Bay National Park,GLBA,C,-0.2,1.3,3.4,7.9,12.1,15.8,16.9,16.1,12.4,7.9,3.1,1.1,8.2,2020
Denali National Park,DENA,F,9.3,13.9,25.8,40.6,56.2,67.8,69,62.8,51.9,31.1,13.9,12.2,37.9,2020
Denali National Park,DENA,C,-12.6,-10.1,-3.4,4.8,13.4,19.9,20.6,17.1,11.1,-0.5,-10.1,-11,3.3,2020
Rocky Mountain National Park,ROMO,F,28.6,30.8,37.5,44.1,53.2,63.7,70.7,68.6,60.7,49.2,36,28.3,47.7,2020
Rocky Mountain National Park,ROMO,C,-1.9,-0.7,3.1,6.7,11.8,17.6,21.5,20.3,15.9,9.6,2.2,-2.1,8.7,2020
Joshua Tree National Park,JOTR,F,59.2,61.1,66.4,75.3,84.3,92.8,97.7,96.7,91.3,80,67.2,58.6,77.6,2020
Joshua Tree National Park,JOTR,C,15.1,16.2,19.1,24.1,29.1,33.8,36.5,35.9,32.9,26.7,19.6,14.8,25.3,2020
Everglades National Park,EVER,F,76.9,79.2,81.2,84.5,88.2,90.3,91.7,91.5,90.1,87.1,82.2,78.5,85.1,2020
Everglades National Park,EVER,C,24.9,26.2,27.3,29.2,31.2,32.4,33.2,33.1,32.3,30.6,27.9,25.8,29.5,2020
Badlands National Park,BADL,F,36,40.4,50.2,62.6,72.8,83,91.4,90.9,80.7,66.9,48.9,38.4,63.5,2020
Badlands National Park,BADL,C,2.2,4.7,10.1,17,22.7,28,33,32.7,27.1,19.4,9.4,3.6,17.5,2020
Petrified Forest National Park,PEFO,F,47.7,53.2,60.2,68.6,78.5,88.2,91.3,88,82.1,71,57.5,47.5,69.6,2020
Petrified Forest National Park,PEFO,C,8.7,11.8,15.7,20.3,25.8,31.2,32.9,31.1,27.8,21.7,14.2,8.6,20.9,2020
Hot Springs National Park,HOSP,F,51.4,56.2,64.7,73.6,80.5,88.2,92.9,93.3,85.7,74.8,62.9,52.5,73.1,2020
Hot Springs National Park,HOSP,C,10.8,13.4,18.2,23.1,26.9,31.2,33.8,34.1,29.8,23.8,17.2,11.4,22.8,2020
Indiana Dunes National Park,INDU,F,32.5,36.6,45.7,59,69.7,78.5,82.6,81.2,75,63.1,49.4,36.3,59.2,2020
Indiana Dunes National Park,INDU,C,0.3,2.6,7.6,15,20.9,25.8,28.1,27.3,23.9,17.3,9.7,2.4,15.1,2020
Death Valley National Park,DEVA,F,66.9,73.3,82.1,90.5,100.5,109.9,116.5,114.7,106.5,92.8,77.1,65.2,91.4,2020
Death Valley National Park,DEVA,C,19.4,22.9,27.8,32.5,38.1,43.3,46.9,45.9,41.4,33.8,25.1,18.4,33,2020
Olympic National Park,OLYM,C,5.096347768,7.496347768,10.49634777,14.09634777,17.79634777,20.39634777,23.49634777,23.69634777,20.59634777,14.09634777,8.296347768,5.896347768,14.29634777,2030
Acadia National Park,ACAD,C,-0.003652232,1.996347768,5.596347768,12.09634777,18.59634777,23.69634777,26.49634777,26.09634777,21.69634777,15.09634777,9.196347768,3.196347768,13.69634777,2030
Great Smoky Mountains National Park,GRSM,C,4.996347768,6.896347768,11.09634777,16.69634777,19.99634777,23.19634777,24.49634777,24.39634777,22.19634777,17.99634777,11.69634777,6.796347768,15.89634777,2030
Redwood National Park,REDW,C,12.19634777,13.09634777,13.59634777,14.09634777,16.19634777,17.69634777,18.59634777,18.69634777,18.69634777,17.29634777,13.99634777,11.79634777,15.49634777,2030
Shenandoah National Park,SHEN,C,1.896347768,3.896347768,8.696347768,15.29634777,19.49634777,23.89634777,25.59634777,24.99634777,20.59634777,14.99634777,10.49634777,3.596347768,14.49634777,2030
Dry Tortugas National Park,DRTO,C,23.39634777,24.09634777,25.79634777,27.69634777,30.29634777,32.49634777,33.09634777,33.49634777,32.39634777,29.59634777,26.49634777,24.49634777,28.59634777,2030
Bryce Canyon National Park,BRCA,C,2.996347768,3.896347768,7.596347768,12.19634777,18.09634777,23.89634777,27.09634777,25.49634777,21.29634777,14.89634777,7.396347768,2.696347768,13.99634777,2030
Yellowstone National Park,YELL,C,-0.703652232,1.096347768,5.196347768,9.696347768,15.29634777,20.59634777,26.59634777,26.19634777,19.99634777,11.89634777,3.496347768,-1.503652232,11.49634777,2030
Sequoia National Park,SEQU,C,8.696347768,8.996347768,10.59634777,13.09634777,17.99634777,22.69634777,26.99634777,27.09634777,23.89634777,18.19634777,11.99634777,7.996347768,16.59634777,2030
Mammoth Cave National Park,MACA,C,6.996347768,9.696347768,15.09634777,21.19634777,25.49634777,29.49634777,31.49634777,31.09634777,27.69634777,21.69634777,15.19634777,8.696347768,20.39634777,2030
Great Basin National Park,GRBA,C,4.096347768,5.196347768,9.496347768,13.09634777,18.69634777,24.69634777,29.19634777,28.19634777,22.89634777,15.99634777,8.396347768,3.996347768,15.39634777,2030
Channel Islands National Park,CHIS,C,17.89634777,17.69634777,18.09634777,19.59634777,20.89634777,22.19634777,24.89634777,25.09634777,24.89634777,23.19634777,20.49634777,17.99634777,21.09634777,2030
Canyonlands National Park,CANY,C,3.996347768,7.396347768,13.39634777,18.29634777,24.29634777,30.49634777,33.99634777,32.29634777,27.19634777,19.49634777,10.49634777,3.996347768,18.89634777,2030
Biscayne National Park,BISC,C,23.59634777,24.39634777,25.19634777,26.39634777,28.09634777,29.89634777,30.89634777,30.99634777,30.39634777,28.59634777,26.49634777,24.59634777,27.49634777,2030
Guadalupe Mountains National Park,GUMO,C,9.896347768,11.69634777,15.39634777,19.59634777,24.29634777,28.49634777,27.89634777,27.09634777,24.19634777,19.99634777,14.49634777,9.896347768,19.49634777,2030
Kings Canyon National Park,KICA,C,12.59634777,12.69634777,14.89634777,16.99634777,22.39634777,26.79634777,30.89634777,31.09634777,28.19634777,22.49634777,15.89634777,11.19634777,20.59634777,2030
Capitol Reef National Park,CARE,C,4.596347768,7.496347768,12.19634777,17.59634777,22.89634777,28.79634777,31.69634777,30.39634777,26.09634777,18.49634777,10.09634777,4.396347768,17.99634777,2030
Pinnacles National Park,PINN,C,16.79634777,17.49634777,19.49634777,22.39634777,26.89634777,31.39634777,35.39634777,35.19634777,32.59634777,27.69634777,20.89634777,16.59634777,25.29634777,2030
Lassen Volcanic National Park,LAVO,C,3.896347768,4.696347768,6.696347768,10.69634777,14.99634777,19.99634777,24.09634777,23.89634777,20.39634777,14.19634777,7.196347768,3.196347768,12.89634777,2030
Mount Rainier National Park,MORA,C,1.896347768,2.396347768,3.596347768,5.896347768,9.896347768,12.89634777,17.69634777,18.39634777,14.79634777,9.096347768,3.196347768,1.296347768,8.396347768,2030
Yosemite National Park,YOSE,C,8.696347768,11.99634777,15.09634777,19.09634777,22.99634777,27.69634777,32.49634777,32.19634777,28.89634777,23.39634777,14.59634777,8.896347768,20.49634777,2030
Wind Cave National Park,WICA,C,4.096347768,5.196347768,9.596347768,14.59634777,19.79634777,25.19634777,30.09634777,29.39634777,24.29634777,16.59634777,8.896347768,3.896347768,15.99634777,2030
North Cascades National Park,NOCA,C,5.196347768,7.396347768,10.89634777,14.59634777,18.79634777,21.39634777,25.09634777,25.49634777,21.59634777,14.29634777,7.996347768,4.496347768,14.79634777,2030
Voyageurs National Park,VOYA,C,-8.603652232,-4.503652232,2.096347768,11.19634777,18.49634777,23.19634777,25.59634777,24.59634777,19.09634777,11.09634777,1.596347768,-6.403652232,9.896347768,2030
Congaree National Park,CONG,C,13.59634777,15.89634777,20.29634777,24.49634777,28.59634777,31.99634777,33.69634777,32.59634777,29.59634777,24.89634777,20.09634777,14.99634777,24.29634777,2030
Carlsbad Caverns National Park,CAVE,C,13.99634777,16.69634777,20.39634777,24.89634777,29.59634777,33.79634777,33.59634777,32.69634777,29.49634777,24.69634777,19.09634777,14.19634777,24.49634777,2030
Zion National Park,ZION,C,12.59634777,14.89634777,19.29634777,23.79634777,29.89634777,35.69634777,38.59634777,37.09634777,33.09634777,25.99634777,17.79634777,12.09634777,25.09634777,2030
Theodore Roosevelt National Park,THRO,C,-3.503652232,-0.403652232,5.796347768,14.69634777,20.49634777,25.39634777,29.89634777,29.69634777,23.19634777,14.79634777,4.896347768,-2.003652232,13.59634777,2030
Crater Lake National Park,CRLA,C,1.696347768,1.996347768,3.396347768,5.696347768,9.996347768,14.69634777,20.69634777,21.19634777,17.59634777,11.49634777,3.696347768,1.396347768,9.496347768,2030
Glacier National Park,GLAC,C,-0.503652232,1.996347768,6.496347768,12.49634777,18.39634777,22.39634777,26.99634777,26.59634777,19.99634777,11.59634777,3.196347768,-1.503652232,12.39634777,2030
Saguaro National Park,SAGU,C,11.99634777,13.49634777,16.09634777,19.99634777,24.89634777,29.79634777,31.29634777,30.19634777,28.29634777,22.49634777,16.19634777,11.59634777,21.39634777,2030
Grand Teton National Park,GRTE,C,-2.903652232,-0.203652232,4.596347768,8.996347768,14.49634777,19.99634777,25.49634777,24.99634777,19.29634777,11.49634777,2.196347768,-3.503652232,10.49634777,2030
Great Sand Dunes National Park,GRSA,C,1.996347768,4.296347768,8.496347768,13.79634777,19.29634777,25.09634777,27.39634777,25.79634777,22.19634777,16.09634777,7.796347768,2.696347768,14.59634777,2030
Black Canyon of the Gunnison National Park,BLCA,C,1.796347768,5.196347768,8.696347768,12.69634777,18.39634777,24.09634777,27.69634777,26.49634777,21.89634777,14.89634777,7.396347768,1.896347768,14.29634777,2030
Arches National Park,ARCH,C,7.296347768,11.29634777,18.29634777,22.29634777,28.29634777,34.29634777,38.29634777,36.29634777,31.29634777,23.29634777,13.29634777,7.296347768,22.19634777,2030
Grand Canyon National Park,GRCA,C,8.396347768,10.29634777,14.29634777,19.09634777,24.89634777,30.79634777,32.89634777,30.89634777,27.59634777,20.99634777,13.19634777,8.196347768,20.19634777,2030
Mesa Verde National Park,MEVE,C,4.496347768,6.496347768,10.59634777,15.09634777,20.59634777,26.69634777,29.69634777,28.09634777,23.89634777,17.09634777,9.996347768,4.596347768,16.49634777,2030
Cuyahoga Valley National Park,CUVA,C,1.596347768,3.396347768,8.396347768,15.39634777,21.19634777,26.49634777,28.59634777,27.59634777,23.69634777,17.19634777,10.79634777,3.796347768,15.69634777,2030
Glacier Bay National Park,GLBA,C,0.096347768,1.596347768,3.696347768,8.196347768,12.39634777,16.09634777,17.19634777,16.39634777,12.69634777,8.196347768,3.396347768,1.396347768,8.496347768,2030
Denali National Park,DENA,C,-12.30365223,-9.803652232,-3.103652232,5.096347768,13.69634777,20.19634777,20.89634777,17.39634777,11.39634777,-0.203652232,-9.803652232,-10.70365223,3.596347768,2030
Rocky Mountain National Park,ROMO,C,-1.603652232,-0.403652232,3.396347768,6.996347768,12.09634777,17.89634777,21.79634777,20.59634777,16.19634777,9.896347768,2.496347768,-1.803652232,8.996347768,2030
Joshua Tree National Park,JOTR,C,15.39634777,16.49634777,19.39634777,24.39634777,29.39634777,34.09634777,36.79634777,36.19634777,33.19634777,26.99634777,19.89634777,15.09634777,25.59634777,2030
